Date,Open,High,Low,Close,Volume,Adj Close
2004-05-28,77.05,77.25,73.00,74.03,4958900,36.36
2004-05-27,78.00,78.00,76.05,76.82,4916800,37.74
2004-05-26,77.50,79.10,75.50,77.68,8093300,38.16
2004-05-25,77.50,77.50,74.25,75.22,3738800,36.95
2004-05-24,75.00,77.50,74.40,77.22,3396500,37.94
2004-05-21,75.90,75.90,72.10,73.97,4857900,36.34
2004-05-20,79.38,80.95,74.25,75.12,5569500,36.90
2004-05-19,75.00,79.18,74.45,77.40,10982500,38.02
2004-05-18,69.05,75.00,68.10,73.12,8709400,35.92
2004-05-17,71.00,73.95,57.00,67.53,8200400,33.17
2004-05-14,80.62,81.47,67.25,70.70,11350200,34.73
2004-05-13,80.70,84.07,70.28,79.97,13698200,39.29
2004-05-12,75.55,78.00,73.68,76.72,5811000,37.69
2004-05-11,76.50,76.75,71.38,75.43,10039900,37.05
2004-05-10,85.50,85.50,78.00,79.00,8440900,38.81
2004-05-07,86.97,86.97,82.93,83.80,8342800,41.17
2004-05-06,87.45,88.43,87.12,87.20,4187400,42.84
2004-05-05,84.75,87.10,84.65,86.53,7048700,42.50
2004-05-04,85.00,86.38,83.10,83.68,6002700,41.10
2004-05-03,89.35,89.35,81.30,83.75,4765300,41.14
2004-04-30,85.95,87.22,84.03,84.90,6532000,41.71
2004-04-29,84.20,86.25,83.45,85.38,7175100,41.94
2004-04-28,83.28,86.00,83.00,83.72,8986900,41.13
2004-04-27,91.50,92.00,82.53,83.22,12061000,40.88
2004-04-23,85.50,94.50,84.93,88.47,30001200,43.46
2004-04-22,83.62,86.12,83.28,83.97,5070400,41.25
2004-04-21,84.00,85.22,82.40,82.88,4319200,40.71
2004-04-20,85.00,86.00,83.07,83.70,4756200,41.12
2004-04-19,87.00,87.22,83.90,84.93,4339300,41.72
2004-04-15,87.32,89.40,83.10,84.07,7731000,41.30
2004-04-13,84.72,88.43,84.72,87.18,6786200,42.82
2004-04-12,85.00,86.70,84.03,84.43,4003800,41.47
2004-04-08,85.00,86.00,80.70,83.62,6289200,41.08
2004-04-07,83.97,85.15,82.85,83.28,4676700,40.91
2004-04-06,83.03,86.65,82.32,83.10,7841000,40.82
2004-04-05,87.00,88.62,81.78,82.55,9492300,40.55
2004-04-02,81.95,86.95,81.57,86.15,10878500,42.32
2004-04-01,78.35,84.70,77.50,81.18,12442900,39.88
2004-03-31,77.00,78.25,74.50,77.90,5386000,38.27
2004-03-30,73.50,76.95,72.60,76.35,7533900,37.51
2004-03-29,75.00,75.50,72.10,72.97,3499600,35.85
2004-03-26,73.28,74.55,72.50,73.43,5309200,36.07
2004-03-25,70.00,73.70,69.78,72.62,6260300,35.68
2004-03-24,70.00,70.97,68.53,69.40,4049600,34.09
2004-03-23,67.00,70.00,66.25,69.03,4258300,33.91
2004-03-22,68.93,68.93,64.18,66.75,6033300,32.79
